"city","method","threshold","integrated_pev","max_pev","optimal_cl","improvement_pct"
"Amsterdam","RAW",20,0.166,0.296,0.09,0
"Amsterdam","RF",20,0.14,0.516,0.07,-15.7
"Amsterdam","EMOS",20,0.131,0.462,0.07,-21.1
"Amsterdam","QR",20,0.125,0.428,0.09,-24.7
"Amsterdam","RAW",25,0.017,0.07,0.01,0
"Rotterdam","RAW",20,0.119,0.172,0.17,0
"Rotterdam","EMOS",20,0.053,0.255,0.17,-55.5
"Rotterdam","RF",20,0.051,0.244,0.17,-57.1
"Rotterdam","QR",20,0.051,0.24,0.17,-57.1
"Rotterdam","RAW",25,0.028,0.029,0.05,0
"Rotterdam","EMOS",25,0.006,0.047,0.05,-78.6
"Rotterdam","QR",25,0.004,0.047,0.05,-85.7
"Rotterdam","RF",25,0.002,0.036,0.05,-92.9
