"city","obs_type","method","n","RMSE","CRPS_mean","CRPS_median","MAE","Bias","Spread"
"Amsterdam","official","EMOS",4070,1.546,0.751,0.471,1.037,-0.014,1.123
"Amsterdam","official","QR",4070,1.591,0.775,0.481,1.063,-0.02,1.09
"Amsterdam","official","RF",4070,1.528,0.792,0.542,1.093,0.008,1.314
"Amsterdam","wow","EMOS",3876,1.718,0.857,0.55,1.182,-0.054,1.277
"Amsterdam","wow","QR",3876,1.764,0.883,0.556,1.211,-0.027,1.232
"Amsterdam","wow","RF",3876,1.643,0.868,0.607,1.196,0.02,1.457
"Rotterdam","official","EMOS",4070,1.707,0.833,0.518,1.147,0.01,1.257
"Rotterdam","official","QR",4070,1.761,0.861,0.525,1.179,-0.015,1.195
"Rotterdam","official","RF",4070,1.667,0.865,0.57,1.186,-0.02,1.443
"Rotterdam","wow","EMOS",3876,2.291,1.185,0.798,1.652,-0.068,1.815
"Rotterdam","wow","QR",3876,2.351,1.222,0.822,1.685,-0.032,1.671
"Rotterdam","wow","RF",3876,2.074,1.117,0.789,1.555,0.011,1.873
