"city","obs_type","method","n","RMSE","CRPS_mean","MAE","Bias","RMSE_improvement","CRPS_improvement","RMSE_improvement_pct","CRPS_improvement_pct"
"Amsterdam","official","RAW",4100,1.624,0.942,1.108,-0.184,0,0,0,0
"Amsterdam","official","EMOS",4070,1.546,0.751,1.037,-0.014,0.078,0.192,4.805,20.35
"Amsterdam","official","QR",4070,1.591,0.775,1.063,-0.02,0.033,0.167,2.012,17.75
"Amsterdam","official","RF",4070,1.526,0.79,1.088,0.011,0.097,0.152,5.997,16.133
"Amsterdam","wow","RAW",3906,2.363,1.641,1.852,-1.465,0,0,0,0
"Amsterdam","wow","EMOS",3876,1.718,0.857,1.182,-0.054,0.645,0.784,27.3,47.787
"Amsterdam","wow","QR",3876,1.764,0.883,1.211,-0.027,0.599,0.758,25.343,46.187
"Amsterdam","wow","RF",3876,1.638,0.866,1.194,0.018,0.725,0.775,30.679,47.222
"Rotterdam","official","RAW",4100,1.974,1.178,1.374,-0.421,0,0,0,0
"Rotterdam","official","EMOS",4070,1.707,0.833,1.147,0.01,0.267,0.346,13.519,29.338
"Rotterdam","official","QR",4070,1.761,0.861,1.179,-0.015,0.213,0.317,10.794,26.938
"Rotterdam","official","RF",4070,1.661,0.864,1.185,-0.017,0.313,0.314,15.862,26.661
"Rotterdam","wow","RAW",3906,3.936,2.954,3.204,-2.865,0,0,0,0
"Rotterdam","wow","EMOS",3876,2.291,1.185,1.652,-0.068,1.645,1.769,41.787,59.877
"Rotterdam","wow","QR",3876,2.351,1.222,1.685,-0.032,1.585,1.732,40.273,58.645
"Rotterdam","wow","RF",3876,2.074,1.116,1.552,0.014,1.862,1.838,47.305,62.208
