"city","obs_type","method","n","RMSE_display","RMSE_imp_display","CRPS_display","CRPS_imp_display"
"Amsterdam","official","RAW",4100,"1.624","-","0.942","-"
"Amsterdam","official","EMOS",4070,"1.546","0.078 (4.8%)","0.751","0.192 (20.4%)"
"Amsterdam","official","QR",4070,"1.591","0.033 (2.0%)","0.775","0.167 (17.8%)"
"Amsterdam","official","RF",4070,"1.526","0.097 (6.0%)","0.790","0.152 (16.1%)"
"Amsterdam","wow","RAW",3906,"2.363","-","1.641","-"
"Amsterdam","wow","EMOS",3876,"1.718","0.645 (27.3%)","0.857","0.784 (47.8%)"
"Amsterdam","wow","QR",3876,"1.764","0.599 (25.3%)","0.883","0.758 (46.2%)"
"Amsterdam","wow","RF",3876,"1.638","0.725 (30.7%)","0.866","0.775 (47.2%)"
"Rotterdam","official","RAW",4100,"1.974","-","1.178","-"
"Rotterdam","official","EMOS",4070,"1.707","0.267 (13.5%)","0.833","0.346 (29.3%)"
"Rotterdam","official","QR",4070,"1.761","0.213 (10.8%)","0.861","0.317 (26.9%)"
"Rotterdam","official","RF",4070,"1.661","0.313 (15.9%)","0.864","0.314 (26.7%)"
"Rotterdam","wow","RAW",3906,"3.936","-","2.954","-"
"Rotterdam","wow","EMOS",3876,"2.291","1.645 (41.8%)","1.185","1.769 (59.9%)"
"Rotterdam","wow","QR",3876,"2.351","1.585 (40.3%)","1.222","1.732 (58.6%)"
"Rotterdam","wow","RF",3876,"2.074","1.862 (47.3%)","1.116","1.838 (62.2%)"
